"workstream_record_id","search_source","query_id","search_date","title","authors","year","doi_or_identifier","source_native_id","citation_anchor","duplicate_group","screening_state","exclusion_reason","evidence_level","final_corpus_id","raw_result_file","notes"
"DCL0047","Crossref","PHASE2-SEARCH-0104","2026-07-31","The t-statistic under dynamic misspecification","Björn Schmolck","2000","10.1007/978-3-642-58324-7_2","10.1007/978-3-642-58324-7_2","","D-CLOSE-10.1007/978-3-642-58324-7_2","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0048","Crossref","PHASE2-SEARCH-0104","2026-07-31","Statistical methods for incomplete data: Some results on model misspecification","Michael McIsaac; RJ Cook","2016","10.1177/0962280214544251","10.1177/0962280214544251","","D-CLOSE-10.1177/0962280214544251","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0049","Crossref","PHASE2-SEARCH-0104","2026-07-31","Factor Score Estimation Under Model Misspecification: Network Score Using Hybrid Centrality","Jinying Ouyang","2023","10.3102/2012345","10.3102/2012345","","D-CLOSE-10.3102/ip.23.2012345","DUPLICATE","DUPLICATE_OR_SUPERSEDED_BY_10.3102/ip.23.2012345","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Version relationship is explicit in the preserved identifiers/titles."
"DCL0050","Crossref","PHASE2-SEARCH-0104","2026-07-31","MetaFluxNet: the management of metabolic reaction information and quantitative metabolic flux analysis","Dong-Yup Lee; Hongsoek Yun; Sunwon Park; Sang Yup Lee","2003","10.1093/bioinformatics/btg271","10.1093/bioinformatics/btg271","","D-CLOSE-10.1093/bioinformatics/btg271","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0104_crossref.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0051","OpenAlex anchor verification","PHASE2-SEARCH-0105","2026-07-31","MetAMDB: Metabolic Atom Mapping Database","Collin Starke; André Wegner","2022","10.3390/metabo12020122","https://openalex.org/W4210780466","10.3390/metabo12020122 (W4210780466)","D-CLOSE-P0034","DUPLICATE","DUPLICATE_OF_CURATED_CORPUS_RECORD","LEVEL_3_DISCOVERY_ONLY","P0034","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_anchor_openalex.json","The DOI is already represented by the stated stable corpus ID."
"DCL0052","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","KEGG: new perspectives on genomes, pathways, diseases and drugs","Minoru Kanehisa; Miho Furumichi; Mao Tanabe; Yoko Sato; Kanae Morishima","2016","10.1093/nar/gkw1092","https://openalex.org/W2559588208","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1093/nar/gkw1092","TITLE_ABSTRACT_EXCLUDED","SECONDARY_OR_GENERAL_CONTEXT_WITHOUT_NEW_PRIMARY_MISSPECIFICATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion."
"DCL0053","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","What is flux balance analysis?","Jeffrey D. Orth; Ines Thiele; Bernhard Ø. Palsson","2010","10.1038/nbt.1614","https://openalex.org/W2078355959","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1038/nbt.1614","TITLE_ABSTRACT_EXCLUDED","SECONDARY_OR_GENERAL_CONTEXT_WITHOUT_NEW_PRIMARY_MISSPECIFICATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion."
"DCL0054","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","The MetaCyc database of metabolic pathways and enzymes - a 2019 update","Ron Caspi; Richard Billington; Ingrid M. Keseler; Anamika Kothari; Markus Krummenacker; Peter Midford; Wai Kit Ong; Suzanne Paley; Pallavi Subhraveti; Peter D. Karp","2019","10.1093/nar/gkz862","https://openalex.org/W2977870980","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1093/nar/gkz862","TITLE_ABSTRACT_EXCLUDED","SECONDARY_OR_GENERAL_CONTEXT_WITHOUT_NEW_PRIMARY_MISSPECIFICATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion."
"DCL0055","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","InChI, the IUPAC International Chemical Identifier","Stephen R. Heller; Alan D. Mcnaught; И. В. Плетнев; Stephen E. Stein; Dmitrii V. Tchekhovskoi","2015","10.1186/s13321-015-0068-4","https://openalex.org/W1508604947","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1186/s13321-015-0068-4","TITLE_ABSTRACT_EXCLUDED","SECONDARY_OR_GENERAL_CONTEXT_WITHOUT_NEW_PRIMARY_MISSPECIFICATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion."
"DCL0056","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","Recon3D enables a three-dimensional view of gene variation in human metabolism","Elizabeth Brunk; Swagatika Sahoo; Daniel C. Zielinski; Ali Altunkaya; Andreas Dräger; Nathan Mih; Francesco Gatto; Avlant Nilsson; German Preciat; Maike K. Aurich; Andreas Prlić; Anand V. Sastry; Anna Dröfn Daníelsdóttir; Almut Heinken; Alberto Noronha; Peter W. Rose; S.K. Burley; Ronan M. T. Fleming; Jens Nielsen; Ines Thiele; Bernhard Ø. Palsson","2018","10.1038/nbt.4072","https://openalex.org/W2789128799","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1038/nbt.4072","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0057","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","BRENDA, the ELIXIR core data resource in 2021: new developments and updates","Antje Chang; Lisa Jeske; Sandra Ulbrich; Julia Hofmann; Julia Koblitz; Ida Schomburg; Meina Neumann‐Schaal; Dieter Jahn; Dietmar Schomburg","2020","10.1093/nar/gkaa1025","https://openalex.org/W3105895642","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1093/nar/gkaa1025","TITLE_ABSTRACT_EXCLUDED","SECONDARY_OR_GENERAL_CONTEXT_WITHOUT_NEW_PRIMARY_MISSPECIFICATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion."
"DCL0058","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","Metabolic Fluxes and Metabolic Engineering","Gregory Stephanopoulos","1999","10.1006/mben.1998.0101","https://openalex.org/W2065163714","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1006/mben.1998.0101","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0059","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","BRENDA in 2019: a European ELIXIR core data resource","Lisa Jeske; Sandra Placzek; Ida Schomburg; Antje Chang; Dietmar Schomburg","2018","10.1093/nar/gky1048","https://openalex.org/W2899903294","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1093/nar/gky1048","TITLE_ABSTRACT_EXCLUDED","SECONDARY_OR_GENERAL_CONTEXT_WITHOUT_NEW_PRIMARY_MISSPECIFICATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion."
"DCL0060","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","INCA: a computational platform for isotopically non-stationary metabolic flux analysis","Jamey D. Young","2014","10.1093/bioinformatics/btu015","https://openalex.org/W2134138595","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1093/bioinformatics/btu015","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0061","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","An elementary metabolite unit (EMU) based method of isotopically nonstationary flux analysis","Jamey D. Young; Jason L. Walther; Maciek R. Antoniewicz; Hyuntae Yoo; Gregory Stephanopoulos","2007","10.1002/bit.21632","https://openalex.org/W2148497594","10.3390/metabo12020122 (W4210780466)","D-CLOSE-P0013","DUPLICATE","DUPLICATE_OF_CURATED_CORPUS_RECORD","LEVEL_3_DISCOVERY_ONLY","P0013","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","The DOI is already represented by the stated stable corpus ID."
"DCL0062","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","A guide to 13C metabolic flux analysis for the cancer biologist","Maciek R. Antoniewicz","2018","10.1038/s12276-018-0060-y","https://openalex.org/W2796927648","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1038/s12276-018-0060-y","TITLE_ABSTRACT_EXCLUDED","SECONDARY_OR_GENERAL_CONTEXT_WITHOUT_NEW_PRIMARY_MISSPECIFICATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion."
"DCL0063","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","A systematic comparison of the MetaCyc and KEGG pathway databases","Tomer Altman; Michael Travers; Anamika Kothari; Ron Caspi; Peter D. Karp","2013","10.1186/1471-2105-14-112","https://openalex.org/W1964572291","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1186/1471-2105-14-112","TITLE_ABSTRACT_EXCLUDED","SECONDARY_OR_GENERAL_CONTEXT_WITHOUT_NEW_PRIMARY_MISSPECIFICATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion."
"DCL0064","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","Computational Assignment of the EC Numbers for Genomic-Scale Analysis of Enzymatic Reactions","Masaaki Kotera; Yasushi Okuno; Masahiro Hattori; Susumu Goto; Minoru Kanehisa","2004","10.1021/ja0466457","https://openalex.org/W2034994407","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1021/ja0466457","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0065","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","A guide to metabolic flux analysis in metabolic engineering: Methods, tools and applications","Maciek R. Antoniewicz","2020","10.1016/j.ymben.2020.11.002","https://openalex.org/W3096266289","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1016/j.ymben.2020.11.002","TITLE_ABSTRACT_EXCLUDED","SECONDARY_OR_GENERAL_CONTEXT_WITHOUT_NEW_PRIMARY_MISSPECIFICATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion."
"DCL0066","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","Automatic mapping of atoms across both simple and complex chemical reactions","Wojciech Jaworski; Sara Szymkuć; Barbara Mikulak-Klucznik; Krzysztof Piecuch; Tomasz Klucznik; Michał Kaźmierowski; Jan M. Rydzewski; Anna Gambin; Bartosz A. Grzybowski","2019","10.1038/s41467-019-09440-2","https://openalex.org/W2929387033","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1038/s41467-019-09440-2","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0067","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","How metabolites modulate metabolic flux","André Wegner; Johannes Meiser; Daniel Weindl; Karsten Hiller","2014","10.1016/j.copbio.2014.11.008","https://openalex.org/W2129727604","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1016/j.copbio.2014.11.008","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0068","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","Reaction Decoder Tool (RDT): extracting features from chemical reactions","Syed Asad Rahman; Gilliean Torrance; Lorenzo Baldacci; Sergio Martínez Cuesta; Franz Fenninger; Nimish Gopal; Saket Choudhary; John W. May; Gemma L. Holliday; Christoph Steinbeck; Janet M. Thornton","2016","10.1093/bioinformatics/btw096","https://openalex.org/W2319614057","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1093/bioinformatics/btw096","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0069","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","Accurate Atom-Mapping Computation for Biochemical Reactions","Mario Latendresse; Jeremiah P. Malerich; Mike Travers; Peter D. Karp","2012","10.1021/ci3002217","https://openalex.org/W1964189732","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1021/ci3002217","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0070","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","Stereochemically Consistent Reaction Mapping and Identification of Multiple Reaction Mechanisms through Integer Linear Optimization","Eric L. First; Chrysanthos E. Gounaris; Christodoulos A. Floudas","2011","10.1021/ci200351b","https://openalex.org/W1999619962","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1021/ci200351b","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0071","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","Comparative evaluation of atom mapping algorithms for balanced metabolic reactions: application to Recon 3D","German Preciat; Lemmer R. P. El Assal; Alberto Noronha; Ines Thiele; Hulda S. Haraldsdóttir; Ronan M. T. Fleming","2017","10.1186/s13321-017-0223-1","https://openalex.org/W2626704831","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1186/s13321-017-0223-1","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0072","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","CLCA: Maximum Common Molecular Substructure Queries within the MetRxn Database","Akhil Kumar; Costas D. Maranas","2014","10.1021/ci5003922","https://openalex.org/W2007750874","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1021/ci5003922","TITLE_ABSTRACT_EXCLUDED","SECONDARY_OR_GENERAL_CONTEXT_WITHOUT_NEW_PRIMARY_MISSPECIFICATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion."
"DCL0073","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","Hierarchical Harmonization of Atom-Resolved Metabolic Reactions across Metabolic Databases","Huan Jin; Hunter Moseley","2021","10.3390/metabo11070431","https://openalex.org/W3175749050","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.3390/metabo11070431","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0074","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","Dynamic models for metabolomics data integration","Polina Lakrisenko; Daniel Weindl","2021","10.1016/j.coisb.2021.100358","https://openalex.org/W3183479527","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1016/j.coisb.2021.100358","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0075","OpenAlex backward citations","PHASE2-SEARCH-0105","2026-07-31","Hierarchical Harmonization of Atom-Resolved Metabolic Reactions Across Metabolic Databases","Huan Jin; Hunter Moseley","2021","10.1101/2021.06.01.446673","https://openalex.org/W3172399532","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.3390/metabo11070431","DUPLICATE","DUPLICATE_OR_SUPERSEDED_BY_10.3390/metabo11070431","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_backward_openalex.json","Version relationship is explicit in the preserved identifiers/titles."
"DCL0076","OpenAlex forward citations","PHASE2-SEARCH-0105","2026-07-31","EnzymeMap: curation, validation and data-driven prediction of enzymatic reactions","Esther Heid; Daniel Probst; William H. Green; Georg K. H. Madsen","2023","10.1039/d3sc02048g","https://openalex.org/W4388917508","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1039/d3sc02048g","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_forward_openalex.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0077","OpenAlex forward citations","PHASE2-SEARCH-0105","2026-07-31","Machine learning in predictive biocatalysis: A comparative review of methods and applications","Neha Tripathi; Joan Hérisson; Jean‐Loup Faulon","2025","10.1016/j.biotechadv.2025.108698","https://openalex.org/W4413810566","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1016/j.biotechadv.2025.108698","TITLE_ABSTRACT_EXCLUDED","SECONDARY_OR_GENERAL_CONTEXT_WITHOUT_NEW_PRIMARY_MISSPECIFICATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_forward_openalex.json","Prospective title/metadata exclusion."
"DCL0078","OpenAlex forward citations","PHASE2-SEARCH-0105","2026-07-31","An integrated AI knowledge graph framework of bacterial enzymology and metabolism","Norman Spencer; Mathusan Gunabalasingam; Keshav Dial; Xiaxia Di; Tonya Malcolm; Nathan A. Magarvey","2025","10.1073/pnas.2425048122","https://openalex.org/W4409220151","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1073/pnas.2425048122","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_forward_openalex.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0079","OpenAlex forward citations","PHASE2-SEARCH-0105","2026-07-31","Computing double-pushout graph transformation rules and atom-to-atom maps from KEGG RCLASS data","Nora Beier; Thomas Gatter; Jakob L. Andersen; Peter F. Stadler","2026","10.1186/s13015-025-00294-6","https://openalex.org/W7126090324","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1186/s13015-025-00294-6","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_forward_openalex.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0080","OpenAlex forward citations","PHASE2-SEARCH-0105","2026-07-31","md_harmonize: A Python Package for Atom-Level Harmonization of Public Metabolic Databases","Huan Jin; Hunter Moseley","2023","10.3390/metabo13121199","https://openalex.org/W4389894348","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.3390/metabo13121199","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_forward_openalex.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0081","OpenAlex forward citations","PHASE2-SEARCH-0105","2026-07-31","High-Quality Predicted Pathway Annotations Greatly Improve Pathway Enrichment Analysis of Metabolomics Datasets","Erik D. Huckvale; P. Travis Thompson; Robert M Flight; Hunter Moseley","2025","10.1101/2025.11.18.689105","https://openalex.org/W4416383282","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1101/2025.11.18.689105","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_forward_openalex.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0082","OpenAlex forward citations","PHASE2-SEARCH-0105","2026-07-31","Chemical Structure Representation Standardization Is Needed to Generalize Metabolite-Pathway Involvement Prediction Across KEGG, Reactome, and MetaCyc Knowledgebases","Erik D. Huckvale; Hunter N. B. Moseley","2026","10.3390/metabo16060357","https://openalex.org/W7162461337","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.3390/metabo16060357","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_forward_openalex.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0083","OpenAlex forward citations","PHASE2-SEARCH-0105","2026-07-31","CBR-db: A Cheminformatic Database for Biochemical Reaction Analysis","Louie Slocombe; Camerian Millsaps; M. Reza Shahjahan; Kamesh Narasimhan; Sara Imari Walker","2026","10.1021/acssynbio.6c00060","https://openalex.org/W7162650038","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.1021/acssynbio.6c00060","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_forward_openalex.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
"DCL0084","OpenAlex forward citations","PHASE2-SEARCH-0105","2026-07-31","<sup>13</sup> C flux ratio analysis with FRAPPPE reveals differences in metabolic fluxes between gut Bacteroidota and <i>Escherichia coli</i>","Daniel B Torka; Bartosz J. Bartmanski; Alexander Spiegelhalter; Ines Herrera Gomez; Mariana Natali Barcenas Rodriguez; Bernhard Drotleff; Michael Zimmermann; Maria Zimmermann‐Kogadeeva","2026","10.64898/2026.05.29.728648","https://openalex.org/W7162862349","10.3390/metabo12020122 (W4210780466)","D-CLOSE-10.64898/2026.05.29.728648","TITLE_ABSTRACT_EXCLUDED","NO_DIRECT_METHOD_FOR_FORWARD_MODEL_MISSPECIFICATION_OR_ROBUST_DISCRIMINATION","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0105_forward_openalex.json","Prospective title/metadata exclusion; no stronger conclusion was inferred."
"DCL0085","OpenAlex anchor verification","PHASE2-SEARCH-0106","2026-07-31","Assessing and Resolving Model Misspecifications in Metabolic Flux Analysis","Rudiyanto Gunawan; Sandro Hutter","2017","10.3390/bioengineering4020048","https://openalex.org/W2601725879","10.3390/bioengineering4020048 (W2601725879)","D-CLOSE-P0035","DUPLICATE","DUPLICATE_OF_CURATED_CORPUS_RECORD","LEVEL_3_DISCOVERY_ONLY","P0035","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0106_anchor_openalex.json","The DOI is already represented by the stated stable corpus ID."
"DCL0086","OpenAlex backward citations","PHASE2-SEARCH-0106","2026-07-31","The MetaCyc database of metabolic pathways and enzymes and the BioCyc collection of pathway/genome databases","Ron Caspi; Richard Billington; Luciana Ferrer; Hartmut Foerster; Carol A. Fulcher; Ingrid M. Keseler; Anamika Kothari; Markus Krummenacker; Mario Latendresse; Lukas A. Mueller; Quang Ong; Suzanne Paley; Pallavi Subhraveti; Daniel Weaver; Peter D. Karp","2015","10.1093/nar/gkv1164","https://openalex.org/W2128601422","10.3390/bioengineering4020048 (W2601725879)","D-CLOSE-10.1093/nar/gkv1164","TITLE_ABSTRACT_EXCLUDED","SECONDARY_OR_GENERAL_CONTEXT_WITHOUT_NEW_PRIMARY_MISSPECIFICATION_METHOD","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0106_backward_openalex.json","Prospective title/metadata exclusion."
"DCL0087","OpenAlex backward citations","PHASE2-SEARCH-0106","2026-07-31","Tests for Specification Errors in Classical Linear Least-Squares Regression Analysis","James B. Ramsey","1969","10.1111/j.2517-6161.1969.tb00796.x","https://openalex.org/W953353200","10.3390/bioengineering4020048 (W2601725879)","D-CLOSE-10.1111/j.2517-6161.1969.tb00796.x","TITLE_ABSTRACT_INCLUDED","NA","LEVEL_3_DISCOVERY_ONLY","","audit/phase2_raw_search_results/D/PHASE2-SEARCH-0106_backward_openalex.json","Adjacent discovery lead only; no full-text or guarantee claim was extracted for Phase 2 synthesis."
